Provincia,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
SAN LUIS,Río Juan Gómez,False,False,False,False,False,False,False,True,False
SAN LUIS,Rodeo De Cadenas,False,False,False,False,False,False,False,False,False
SAN LUIS,San Francisco del Monte de Oro,False,False,False,False,True,False,True,True,False
SAN LUIS,San Ignacio,False,False,False,False,False,False,False,False,False
SAN LUIS,San Miguel,False,False,False,False,False,False,False,False,True
SAN LUIS,San Roque,False,False,False,False,False,False,False,False,False
SAN LUIS,Santa Ana,False,False,False,False,False,False,False,False,False
SAN LUIS,Santa Rosa De Catantal,False,False,False,False,False,False,False,False,False
SAN LUIS,Santa Teresa,False,False,False,False,False,False,False,False,False
SAN LUIS,Santo Domingo,False,False,False,False,False,False,False,False,False
SAN LUIS,Talita,False,False,False,False,False,False,False,False,False
SAN LUIS,Arbol Solo,False,False,False,False,False,False,False,False,False
SAN LUIS,Bella Estancia,False,False,False,False,False,False,False,False,False
SAN LUIS,Buen Orden,False,False,False,False,False,False,False,False,False
SAN LUIS,El Barrial,False,False,False,False,False,False,False,False,False
SAN LUIS,El Milagro,False,False,False,False,False,False,False,False,False
SAN LUIS,El Recodo,False,False,False,False,False,False,False,False,False
SAN LUIS,Estancia De Amieva,False,False,False,False,False,False,False,False,False
SAN LUIS,Hualtaran,False,False,False,False,False,False,False,False,False
SAN LUIS,La Calera,False,False,False,True,False,False,True,True,False
SAN LUIS,Los Molles,False,False,False,False,False,False,False,True,False
SAN LUIS,Los Ramblones,False,False,False,False,False,False,False,False,False
SAN LUIS,Naranjo Esquino,False,False,False,False,False,False,False,False,False
SAN LUIS,Nogolí,False,False,False,True,False,False,True,True,False
SAN LUIS,Pozo Cavado,False,False,False,False,False,False,False,False,False
SAN LUIS,Pozo Del Tala,False,False,False,False,False,False,False,False,False
SAN LUIS,Represa Del Carmen,False,False,False,False,False,False,False,False,False
SAN LUIS,San Antonio,False,False,False,False,False,False,False,False,False
SAN LUIS,San Pedro,False,False,False,False,False,False,False,True,False
SANTA FE,Cañada del Ucle,True,False,False,False,False,False,True,False,False
SANTA FE,Carmen,False,False,False,False,True,True,True,True,False
SANTA FE,Carreras,False,True,False,False,True,True,True,True,False
SANTA FE,Chapuy,False,True,False,False,True,True,True,False,False
SANTA FE,Chovet,False,True,False,False,True,True,True,False,True
SANTA FE,Christophersen,False,False,False,True,True,False,True,True,False
SANTA FE,Diego de Alvear,True,False,False,True,True,True,True,True,False
SANTA FE,Elortondo,True,True,False,False,True,True,True,True,False
SANTA FE,Firmat,True,True,False,True,True,True,True,False,False
SANTA FE,Hughes,False,False,False,True,True,True,True,False,False
SANTA FE,La Chispa,False,False,False,False,False,False,True,True,False
CORDOBA,Salsacate,True,False,False,True,True,True,True,True,True
CORDOBA,San Gerónimo,False,False,False,False,False,False,False,True,False
CORDOBA,Tala Cañada,False,False,False,False,True,False,True,True,False
CORDOBA,Taninga,False,False,False,False,False,False,False,True,False
CORDOBA,Villa de Pocho,False,False,False,False,True,False,True,True,False
CORDOBA,General Levalle,True,True,False,True,True,True,True,True,False
